,generations,population,"(p,d,q)","(P,D,Q)",AIC,Time
91,50,300,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,203063.54811811447
92,50,300,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,203063.54811811447
93,50,300,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,203063.54811811447
94,50,300,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,203063.54811811447
95,50,400,"(6, 0, 7)","(0, 0, 0, 12)",-159.69823039208103,296578.28807902336
96,50,400,"(6, 0, 7)","(0, 0, 0, 12)",-159.69823039208103,296578.28807902336
97,50,400,"(6, 0, 7)","(0, 0, 0, 12)",-159.69823039208103,296578.28807902336
98,50,400,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,296578.28807902336
99,50,400,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,296578.28807902336
100,50,500,"(9, 0, 8)","(0, 0, 0, 12)",-161.65747548647533,357234.8152830601
101,50,500,"(9, 0, 8)","(0, 0, 0, 12)",-161.65747548647533,357234.8152830601
102,50,500,"(9, 0, 8)","(0, 0, 0, 12)",-161.65747548647533,357234.8152830601
103,50,500,"(9, 0, 8)","(0, 0, 0, 12)",-161.65747548647533,357234.8152830601
104,50,500,"(9, 0, 8)","(0, 0, 0, 12)",-161.65747548647533,357234.8152830601
-----------------------------------------------------------------------------------------
105,100,10,"(5, 0, 2)","(3, 1, 3, 12)",-147.28937314107924,17360.7413084507
106,100,10,"(5, 0, 2)","(3, 1, 3, 12)",-147.28937314107924,17360.7413084507
107,100,10,"(5, 0, 2)","(3, 1, 3, 12)",-147.28937314107924,17360.7413084507
108,100,10,"(5, 0, 2)","(3, 1, 3, 12)",-147.28937314107924,17360.7413084507
109,100,10,"(5, 0, 2)","(3, 1, 3, 12)",-147.28937314107924,17360.7413084507
110,100,50,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,46532.382642269135
111,100,50,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,46532.382642269135
112,100,50,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,46532.382642269135
113,100,50,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,46532.382642269135
114,100,50,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,46532.382642269135
115,100,100,"(12, 1, 0)","(0, 0, 1, 12)",-159.62155215479248,140572.46735048294
116,100,100,"(12, 1, 0)","(0, 0, 1, 12)",-159.62155215479248,140572.46735048294
117,100,100,"(12, 1, 0)","(0, 0, 1, 12)",-159.62155215479248,140572.46735048294
118,100,100,"(12, 1, 0)","(0, 0, 1, 12)",-159.62155215479248,140572.46735048294
119,100,100,"(12, 1, 0)","(0, 0, 1, 12)",-159.62155215479248,140572.46735048294
120,100,200,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,160563.2010061741
121,100,200,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,160563.2010061741
122,100,200,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,160563.2010061741
123,100,200,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,160563.2010061741
124,100,200,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,160563.2010061741
125,100,300,"(12, 1, 0)","(0, 0, 1, 12)",-159.62155215479248,394516.99453139305
126,100,300,"(12, 1, 0)","(0, 0, 1, 12)",-159.62155215479248,394516.99453139305
127,100,300,"(12, 1, 0)","(0, 0, 1, 12)",-159.62155215479248,394516.99453139305
128,100,300,"(12, 1, 0)","(0, 0, 1, 12)",-159.62155215479248,394516.99453139305
129,100,300,"(12, 1, 0)","(0, 0, 1, 12)",-159.62155215479248,394516.99453139305
130,100,400,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,392129.0138306618
131,100,400,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,392129.0138306618
132,100,400,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,392129.0138306618
133,100,400,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,392129.0138306618
134,100,400,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,392129.0138306618
135,100,500,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,466989.36495661736
136,100,500,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,466989.36495661736
137,100,500,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,466989.36495661736
138,100,500,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,466989.36495661736
139,100,500,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,466989.36495661736
-----------------------------------------------------------------------------------------
140,200,10,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,15505.609254360199
141,200,10,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,15505.609254360199
142,200,10,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,15505.609254360199
143,200,10,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,15505.609254360199
144,200,10,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,15505.609254360199
145,200,50,"(1, 0, 0)","(2, 0, 2, 12)",-157.86456320697278,91219.47748041153
146,200,50,"(1, 0, 0)","(2, 0, 2, 12)",-157.86456320697278,91219.47748041153
147,200,50,"(1, 0, 0)","(2, 0, 2, 12)",-157.86456320697278,91219.47748041153
148,200,50,"(1, 0, 0)","(2, 0, 2, 12)",-157.86456320697278,91219.47748041153
149,200,50,"(1, 0, 0)","(2, 0, 2, 12)",-157.86456320697278,91219.47748041153
150,200,100,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,149313.51872706413
151,200,100,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,149313.51872706413
152,200,100,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,149313.51872706413
153,200,100,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,149313.51872706413
154,200,100,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,149313.51872706413
155,200,200,"(12, 1, 0)","(0, 0, 1, 12)",-159.62155215479248,456316.2904808521
156,200,200,"(12, 1, 0)","(0, 0, 1, 12)",-159.62155215479248,456316.2904808521
157,200,200,"(12, 1, 0)","(0, 0, 1, 12)",-159.62155215479248,456316.2904808521
158,200,200,"(12, 1, 0)","(0, 0, 1, 12)",-159.62155215479248,456316.2904808521
159,200,200,"(12, 1, 0)","(0, 0, 1, 12)",-159.62155215479248,456316.2904808521
160,200,300,"(12, 1, 0)","(0, 0, 1, 12)",-159.62155215479248,638555.0288417339
161,200,300,"(12, 1, 0)","(0, 0, 1, 12)",-159.62155215479248,638555.0288417339
162,200,300,"(12, 1, 0)","(0, 0, 1, 12)",-159.62155215479248,638555.0288417339
163,200,300,"(12, 1, 0)","(0, 0, 1, 12)",-159.62155215479248,638555.0288417339
164,200,300,"(12, 1, 0)","(0, 0, 1, 12)",-159.62155215479248,638555.0288417339
